"ghc_MAJOR","ghc_MINOR","ghc_PATCH","ghc_POINT","Cabal_MAJOR","Cabal_MINOR","Cabal_PATCH","Cabal_POINT","Win32_MAJOR","Win32_MINOR","Win32_PATCH","Win32_POINT","array_MAJOR","array_MINOR","array_PATCH","array_POINT","base_MAJOR","base_MINOR","base_PATCH","base_POINT"
"6","10","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "0","0","0"
"6","10","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "1","0","0"
"6","12","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "2","0","0"
"6","12","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "2","0","1"
"6","12","3","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "2","0","2"
"7", "0","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "3","0","0"
"7", "0","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "3","1","0"
"7", "2","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "4","0","0"
"7", "2","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "4","1","0"
"7", "4","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "5","0","0"
"7", "4","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "5","1","0"
"7", "6","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "6","0","0"
"7", "6","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "6","0","1"
"7", "8","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "7","0","0"
"7", "8","3","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "7","0","1"
"7", "8","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "7","0","2"
"7","10","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "8","0","0"
"7","10","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "8","1","0"
"7","10","3","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "8","2","0"
"8", "0","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "9","0","0"
"8", "0","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4", "9","1","0"
"8", "2","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","10","0","0"
"8", "2","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","10","1","0"
"8", "4","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","11","0","0"
"8", "4","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","11","1","0"
"8", "6","5","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","12","0","0"
"8", "8","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","13","0","0"
"8","10","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","0","0"
"8","10","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","1","0"
"8","10","3","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","1","0"
"8","10","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","1","0"
"8","10","5","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","2","0"
"8","10","6","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","3","0"
"8","10","7","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","14","3","0"
"9", "0","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","15","0","0"
"9", "0","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","15","1","0"
"9", "2","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","16","0","0"
"9", "2","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","16","1","0"
"9", "2","3","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","16","2","0"
"9", "2","4","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","16","3","0"
"9", "4","1","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","17","0","0"
"9", "4","2","0", "3","4","0","0", "2","10","0","0", "0","5","4","0", "4","17","1","0"
